run,scenario,implementation,ns_per_op,ns_min,ns_max,thread_cycles_per_op,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
3,phase_32_peak_false_after,old,2156.1,2111.7,2275.0,4725.7,59367696.3,0,0,0,0,0
3,phase_32_peak_false_after,new,1703.1,1524.0,2142.6,3741.8,75155963.3,0,0,0,0,0
3,phase_32_peak_true_before,old,2903.3,2535.7,3094.9,6366.4,44087453.8,0,0,0,0,0
3,phase_32_peak_true_before,new,2502.1,2133.8,3506.8,5470.4,51156037.8,0,0,0,0,0
3,phase_32_peak_true_late,old,51324.2,50180.9,52288.3,112522.0,2493949.3,0,0,0,0,0
3,phase_32_peak_true_late,new,9654.1,9440.4,9993.0,21114.4,13258613.4,0,0,0,0,0
3,phase_32_peak_true_after,old,2069.7,1990.8,2167.2,4537.9,61843918.1,0,0,0,0,0
3,phase_32_peak_true_after,new,1654.1,1582.4,1834.8,3633.8,77383398.3,0,0,0,0,0
3,phase_128_peak_false_before,old,2639.3,2509.6,2975.0,5764.0,48498482.9,0,0,0,0,0
3,phase_128_peak_false_before,new,2281.4,2068.9,2671.5,5010.8,56104785.5,0,0,0,0,0
3,phase_128_peak_false_late,old,200628.9,199074.2,205847.9,439620.8,637993.8,0,0,0,0,0
3,phase_128_peak_false_late,new,30805.5,29301.2,31956.1,67504.0,4155106.4,0,0,0,0,0
3,phase_128_peak_false_after,old,2028.3,1974.6,2086.9,4455.6,63106403.5,0,0,0,0,0
3,phase_128_peak_false_after,new,1673.0,1567.2,2030.5,3668.9,76507121.2,0,0,0,0,0
3,phase_128_peak_true_before,old,2959.2,2624.2,3944.7,6489.4,43255230.7,0,0,0,0,0
