run,order,case,geometries,version,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
4,new-first,Misses,64,new,792.9,766.4,854.8,1739.2,80719300.4,0,0,0,0,0
4,new-first,Misses,64,old,801.0,792.2,836.9,1751.6,79897592.2,0,0,0,0,0
4,new-first,Stable,256,new,590.4,565.5,681.7,1295.6,433582533.9,0,0,0,0,0
4,new-first,Stable,256,old,583.0,562.8,625.7,1279.3,439120566.2,0,0,0,0,0
4,new-first,ChangeFirst,256,new,620.5,583.8,871.2,1328.5,412597780.8,0,0,0,0,0
4,new-first,ChangeFirst,256,old,609.3,569.4,713.5,1336.0,420153063.3,0,0,0,0,0
4,new-first,ChangeLast,256,new,606.4,571.9,694.1,1330.7,422132045.1,0,0,0,0,0
4,new-first,ChangeLast,256,old,1268.2,1167.5,1318.0,2753.5,201854967.6,0,0,0,0,0
4,new-first,Mixed,256,new,1169.9,1137.6,1462.2,2566.4,218813463.8,0,0,0,0,0
4,new-first,Mixed,256,old,1107.7,1091.3,1462.1,2413.7,231111502.9,0,0,0,0,0
4,new-first,Misses,256,new,3339.2,3289.7,3370.8,7274.2,76665423.7,0,0,0,0,0
4,new-first,Misses,256,old,3499.9,3431.8,3671.2,7612.8,73145408.3,0,0,0,0,0
5,old-first,Stable,0,old,10.4,6.4,17.1,23.3,96150234.7,0,0,0,0,0
5,old-first,Stable,0,new,14.4,5.2,20.5,32.3,69541595.9,0,0,0,0,0
5,old-first,Stable,1,old,7.4,7.3,7.4,16.5,135629139.1,0,0,0,0,0
5,old-first,Stable,1,new,7.6,7.6,7.6,17.0,131282051.3,0,0,0,0,0
5,old-first,ChangeFirst,1,old,10.7,10.7,10.7,23.8,93515981.7,0,0,0,0,0
5,old-first,ChangeFirst,1,new,8.3,8.3,8.3,18.6,120117302.1,0,0,0,0,0
5,old-first,ChangeLast,1,old,21.2,13.8,57.5,45.1,47243367.9,0,0,0,0,0
5,old-first,ChangeLast,1,new,12.3,8.3,17.1,27.3,81269841.3,0,0,0,0,0
5,old-first,Mixed,1,old,18.4,18.0,20.2,40.6,54395750.3,0,0,0,0,0
5,old-first,Mixed,1,new,14.7,14.7,16.6,32.6,67927031.5,0,0,0,0,0
5,old-first,Misses,1,old,16.7,16.7,16.9,37.0,59883040.9,0,0,0,0,0
5,old-first,Misses,1,new,15.1,15.1,15.1,33.5,66278317.2,0,0,0,0,0
5,old-first,Stable,16,old,48.5,43.2,68.7,106.9,329657947.7,0,0,0,0,0
5,old-first,Stable,16,new,49.5,48.7,49.5,108.9,323474827.2,0,0,0,0,0
5,old-first,ChangeFirst,16,old,42.3,42.3,42.3,93.1,378383371.8,0,0,0,0,0
5,old-first,ChangeFirst,16,new,44.4,44.4,44.5,97.9,360087912.1,0,0,0,0,0
5,old-first,ChangeLast,16,old,80.4,71.8,99.4,174.2,199016094.7,0,0,0,0,0
5,old-first,ChangeLast,16,new,44.5,44.4,51.2,97.9,359890170.2,0,0,0,0,0
5,old-first,Mixed,16,old,65.2,65.2,65.2,143.4,245545148.0,0,0,0,0,0
5,old-first,Mixed,16,new,67.1,67.0,97.1,147.8,238572988.7,0,0,0,0,0
5,old-first,Misses,16,old,158.7,157.2,181.0,348.5,100824615.4,0,0,0,0,0
5,old-first,Misses,16,new,150.1,149.5,185.9,329.8,106597267.4,0,0,0,0,0
5,old-first,Stable,64,old,145.9,145.8,170.8,320.8,438734728.0,0,0,0,0,0
5,old-first,Stable,64,new,152.8,148.3,204.7,335.7,418827288.7,0,0,0,0,0
5,old-first,ChangeFirst,64,old,153.0,152.9,176.4,336.4,418426177.2,0,0,0,0,0
5,old-first,ChangeFirst,64,new,205.9,172.4,246.5,447.3,310891840.6,0,0,0,0,0
5,old-first,ChangeLast,64,old,310.3,293.2,410.5,672.0,206233970.6,0,0,0,0,0
5,old-first,ChangeLast,64,new,155.9,155.8,183.1,342.9,410497964.3,0,0,0,0,0
5,old-first,Mixed,64,old,292.2,280.8,305.8,640.7,219019132.8,0,0,0,0,0
5,old-first,Mixed,64,new,325.0,262.8,376.5,711.3,196893495.6,0,0,0,0,0
5,old-first,Misses,64,old,788.7,760.4,873.3,1721.6,81149083.7,0,0,0,0,0
5,old-first,Misses,64,new,820.9,816.4,1060.3,1800.0,77961040.9,0,0,0,0,0
5,old-first,Stable,256,old,589.3,561.7,669.7,1292.7,434426813.6,0,0,0,0,0
5,old-first,Stable,256,new,599.7,566.0,640.9,1315.2,426909860.8,0,0,0,0,0
5,old-first,ChangeFirst,256,old,612.0,596.3,630.4,1325.4,418292644.0,0,0,0,0,0
5,old-first,ChangeFirst,256,new,605.0,570.6,645.5,1327.4,423137080.8,0,0,0,0,0
5,old-first,ChangeLast,256,old,1306.3,1182.6,1384.8,2845.8,195973535.7,0,0,0,0,0
5,old-first,ChangeLast,256,new,608.0,573.0,757.1,1333.8,421081037.7,0,0,0,0,0
5,old-first,Mixed,256,old,1146.3,1132.0,1240.7,2514.1,223334114.3,0,0,0,0,0
5,old-first,Mixed,256,new,1356.1,1156.4,1502.6,2945.7,188779548.1,0,0,0,0,0
5,old-first,Misses,256,old,3538.3,3428.8,4228.9,7699.5,72352011.7,0,0,0,0,0
5,old-first,Misses,256,new,3456.9,3404.8,3510.6,7513.7,74054592.3,0,0,0,0,0
