run,order,samples,iterations_per_sample,path,logging,variant,ns_per_op,min_ns_per_op,max_ns_per_op,thread_cycles_per_op,calls_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
5,old-first,7,1048576,instant-past,filtered,new,34.5,33.4,36.8,75.7,28950832.7,0,0,0,0,0
5,old-first,7,1048576,instant-future,filtered,old,63.7,62.8,66.0,139.7,15696047.2,0,0,0,0,0
5,old-first,7,1048576,instant-future,filtered,new,43.2,42.4,46.6,94.6,23169110.1,0,0,0,0,0
5,old-first,7,16384,host,formatted,old,1084.0,1001.5,1162.7,2376.7,922475.8,0,0,0,0,0
5,old-first,7,16384,host,formatted,new,1033.4,993.3,1097.2,2265.0,967652.4,0,0,0,0,0
5,old-first,7,16384,instant-past,formatted,old,1068.8,994.4,1111.2,2343.7,935608.4,0,0,0,0,0
5,old-first,7,16384,instant-past,formatted,new,1018.2,999.0,1081.0,2232.9,982089.3,0,0,0,0,0
5,old-first,7,16384,instant-future,formatted,old,1078.5,1017.2,1165.1,2365.1,927200.3,0,0,0,0,0
5,old-first,7,16384,instant-future,formatted,new,1087.5,1041.4,1150.3,2385.0,919509.3,0,0,0,0,0
6,new-first,7,1048576,host,off,new,31.2,31.0,31.4,68.4,32029421.6,0,0,0,0,0
6,new-first,7,1048576,host,off,old,33.2,32.1,34.3,72.8,30110901.2,0,0,0,0,0
6,new-first,7,1048576,instant-past,off,new,34.3,33.2,34.9,75.2,29157159.2,0,0,0,0,0
6,new-first,7,1048576,instant-past,off,old,46.3,42.7,48.0,101.5,21602129.4,0,0,0,0,0
6,new-first,7,1048576,instant-future,off,new,42.0,40.5,44.3,91.9,23832681.0,0,0,0,0,0
6,new-first,7,1048576,instant-future,off,old,61.2,59.7,67.2,134.0,16342327.1,0,0,0,0,0
6,new-first,7,1048576,host,filtered,new,33.5,30.9,34.9,73.3,29857882.8,0,0,0,0,0
6,new-first,7,1048576,host,filtered,old,30.1,29.3,31.1,66.0,33189086.5,0,0,0,0,0
6,new-first,7,1048576,instant-past,filtered,new,33.6,32.5,35.1,73.6,29772428.5,0,0,0,0,0
6,new-first,7,1048576,instant-past,filtered,old,42.1,41.1,43.3,92.2,23763815.9,0,0,0,0,0
6,new-first,7,1048576,instant-future,filtered,new,42.0,40.7,43.8,91.9,23819741.8,0,0,0,0,0
6,new-first,7,1048576,instant-future,filtered,old,60.5,58.8,64.0,132.5,16536888.7,0,0,0,0,0
6,new-first,7,16384,host,formatted,new,1007.1,928.3,1063.2,2205.0,992987.8,0,0,0,0,0
6,new-first,7,16384,host,formatted,old,1015.8,960.2,1038.9,2226.5,984420.2,0,0,0,0,0
6,new-first,7,16384,instant-past,formatted,new,1012.8,984.1,1070.4,2217.9,987368.6,0,0,0,0,0
6,new-first,7,16384,instant-past,formatted,old,1004.2,975.4,1051.7,2194.4,995830.4,0,0,0,0,0
6,new-first,7,16384,instant-future,formatted,new,1011.7,994.3,1075.4,2213.8,988417.0,0,0,0,0,0
6,new-first,7,16384,instant-future,formatted,old,1037.7,976.5,1125.4,2275.6,963691.0,0,0,0,0,0
7,old-first,7,1048576,host,off,old,31.6,29.2,32.4,69.1,31645762.2,0,0,0,0,0
7,old-first,7,1048576,host,off,new,29.8,29.4,31.4,65.3,33578823.7,0,0,0,0,0
7,old-first,7,1048576,instant-past,off,old,42.7,41.9,43.8,93.6,23420979.7,0,0,0,0,0
7,old-first,7,1048576,instant-past,off,new,33.2,32.8,33.6,72.8,30077389.5,0,0,0,0,0
7,old-first,7,1048576,instant-future,off,old,60.4,59.9,61.5,132.4,16556550.3,0,0,0,0,0
7,old-first,7,1048576,instant-future,off,new,40.9,40.4,42.4,89.7,24445522.0,0,0,0,0,0
7,old-first,7,1048576,host,filtered,old,30.5,29.9,31.3,67.0,32740988.7,0,0,0,0,0
7,old-first,7,1048576,host,filtered,new,30.1,29.5,31.4,66.0,33222525.7,0,0,0,0,0
7,old-first,7,1048576,instant-past,filtered,old,42.5,41.0,42.7,93.2,23512412.4,0,0,0,0,0
7,old-first,7,1048576,instant-past,filtered,new,33.9,32.6,34.9,74.3,29486933.6,0,0,0,0,0
7,old-first,7,1048576,instant-future,filtered,old,63.8,62.4,64.3,139.8,15683979.9,0,0,0,0,0
7,old-first,7,1048576,instant-future,filtered,new,43.9,42.3,47.8,96.3,22761038.4,0,0,0,0,0
7,old-first,7,16384,host,formatted,old,1041.6,1026.2,1104.4,2283.9,960048.8,0,0,0,0,0
7,old-first,7,16384,host,formatted,new,1059.5,978.9,1087.9,2323.1,943876.7,0,0,0,0,0
7,old-first,7,16384,instant-past,formatted,old,1043.6,1003.3,1085.7,2288.3,958240.7,0,0,0,0,0
7,old-first,7,16384,instant-past,formatted,new,1033.6,1022.3,1143.5,2266.4,967521.0,0,0,0,0,0
7,old-first,7,16384,instant-future,formatted,old,1033.2,1001.7,1126.1,2265.1,967835.3,0,0,0,0,0
7,old-first,7,16384,instant-future,formatted,new,1042.5,1019.0,1123.9,2286.1,959211.3,0,0,0,0,0
