suite,run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
thumbnail,1,thumbnail_frame/256x256,new,249706.2,248306.2,287412.5,547501.6,4004.7,1,0,1,14400,14400
thumbnail,1,thumbnail_frame/1024x512,old,2310637.5,2296937.5,2477975.0,5063055.6,432.8,2,0,2,2111552,2111552
thumbnail,1,thumbnail_frame/1024x512,new,1359956.2,1291756.2,1497631.2,2978491.6,735.3,1,0,1,14400,14400
assets,2,fallback/correct/1x1,new,81293.8,80550.0,95043.8,178110.5,12301.1,10,1,10,37227,37227
assets,2,fallback/correct/1x1,old,104918.8,94587.5,113618.8,229912.5,9531.2,11,1,11,37270,37270
assets,2,fallback/mismatch/1x1,new,109262.5,108293.8,113031.2,239433.3,9152.3,12,1,12,37374,37374
assets,2,fallback/mismatch/1x1,old,183093.8,180500.0,198575.0,401053.9,5461.7,16,1,16,45730,45730
assets,2,fallback/unknown/1x1,new,93281.2,90350.0,104193.8,204299.6,10720.3,13,1,13,37282,37282
assets,2,fallback/unknown/1x1,old,91668.8,90681.2,102193.8,200869.9,10908.8,13,1,13,37282,37282
assets,2,banner/1x1,new,82475.0,81425.0,86256.2,180662.2,12124.9,10,1,10,37225,37225
assets,2,banner/1x1,old,83668.8,82518.8,86987.5,183323.6,11951.9,12,1,12,37272,37272
assets,2,fallback/correct/320x80,new,677600.0,653062.5,688368.8,1484368.8,1475.8,10,1,10,439143,439143
assets,2,fallback/correct/320x80,old,692462.5,671631.2,716437.5,1516264.8,1444.1,11,1,11,439186,439186
assets,2,fallback/mismatch/320x80,new,793631.2,736625.0,806743.8,1737644.3,1260.0,12,1,12,528377,528377
assets,2,fallback/mismatch/320x80,old,856693.8,822006.2,938087.5,1876354.4,1167.3,16,1,16,536733,536733
assets,2,fallback/unknown/320x80,new,557062.5,529950.0,586231.2,1220447.4,1795.1,13,1,13,439198,439198
assets,2,fallback/unknown/320x80,old,592231.2,558525.0,626950.0,1297656.6,1688.5,13,1,13,439198,439198
assets,2,banner/320x80,new,706612.5,641650.0,747981.2,1547310.4,1415.2,10,1,10,439141,439141
assets,2,banner/320x80,old,662143.8,618450.0,699000.0,1445805.4,1510.2,12,1,12,541584,541584
assets,2,fallback/correct/1024x512,new,8233275.0,8158337.5,8484118.8,18030827.8,121.5,10,1,10,2519143,2519143
assets,2,fallback/correct/1024x512,old,8264237.5,8134762.5,8629281.2,18102425.6,121.0,11,1,11,2519186,2519186
assets,2,fallback/mismatch/1024x512,new,8930375.0,8837962.5,9327593.8,19562031.9,112.0,12,1,12,4342302,4342302
assets,2,fallback/mismatch/1024x512,old,9067025.0,8897756.2,9189081.2,19862349.1,110.3,16,1,16,4350658,4350658
assets,2,fallback/unknown/1024x512,new,8367643.8,8149381.2,9315918.8,18327756.0,119.5,13,1,13,2519198,2519198
assets,2,fallback/unknown/1024x512,old,8203668.8,8097375.0,8809068.8,17938047.5,121.9,13,1,13,2519198,2519198
assets,2,banner/1024x512,new,8233687.5,8145318.8,8454762.5,17932381.6,121.5,10,1,10,2519141,2519141
assets,2,banner/1024x512,old,8813962.5,8770693.8,8922906.2,19186015.1,113.5,12,1,12,4616336,4616336
assets,2,fallback/invalid.png,new,89025.0,85493.8,110668.8,194422.1,11232.8,13,0,13,47567,47567
assets,2,fallback/invalid.png,old,153475.0,151906.2,175612.5,335505.8,6515.7,21,0,21,55933,55933
assets,2,fallback/unknown.data,new,74568.8,72725.0,84037.5,163225.7,13410.4,9,0,9,8378,8378
assets,2,fallback/unknown.data,old,75575.0,73475.0,87937.5,163431.4,13231.9,10,0,10,8382,8382
assets,2,rgba_owned/1x1,new,40.6,25.0,65.6,1234.6,24615384.6,0,0,0,0,0
assets,2,rgba_owned/1x1,old,103.1,100.0,106.2,1371.9,9696969.7,1,0,1,4,4
assets,2,rgba_owned/320x80,new,43.8,31.2,46.9,1269.0,22857142.9,0,0,0,0,0
assets,2,rgba_owned/320x80,old,14759.4,12962.5,16425.0,33768.7,67753.5,1,0,1,102400,102400
assets,2,rgba_owned/1024x512,new,68.8,59.4,78.1,2291.0,14545454.5,0,0,0,0,0
assets,2,rgba_owned/1024x512,old,719909.4,712543.8,748312.5,1570103.9,1389.1,1,0,1,2097152,2097152
assets,2,rgba_owned/2048x2048,new,75.0,56.2,93.8,2160.8,13333333.3,0,0,0,0,0
assets,2,rgba_owned/2048x2048,old,5244150.0,5203837.5,5334240.6,11423472.7,190.7,1,0,1,16777216,16777216
thumbnail,2,thumbnail/plain/64x64,new,384562.5,365256.2,406531.2,843277.8,2600.4,15,1,15,109533,109533
thumbnail,2,thumbnail/plain/64x64,old,362356.2,352850.0,391156.2,792902.6,2759.7,15,1,15,109533,109533
thumbnail,2,thumbnail/sheet1x1/64x64,new,384787.5,359162.5,400975.0,841727.6,2598.8,18,1,18,109569,109569
thumbnail,2,thumbnail/sheet1x1/64x64,old,388175.0,380250.0,435106.2,850589.9,2576.2,19,1,19,125953,125953
thumbnail,2,thumbnail/sheet2x1/64x64,new,379618.8,369318.8,402525.0,831836.4,2634.2,18,1,18,109569,109569
thumbnail,2,thumbnail/sheet2x1/64x64,old,378381.2,367568.8,403962.5,827940.2,2642.8,19,1,19,117761,117761
thumbnail,2,thumbnail/sheet16x8/64x64,new,398850.0,360537.5,435306.2,872224.4,2507.2,18,1,18,109572,109572
thumbnail,2,thumbnail/sheet16x8/64x64,old,371262.5,331843.8,396431.2,813274.9,2693.5,19,1,19,109700,109700
thumbnail,2,thumbnail/plain/320x160,new,1239031.2,1178550.0,1380625.0,2713349.2,807.1,15,1,15,641245,641245
thumbnail,2,thumbnail/plain/320x160,old,1164743.8,1149262.5,1177331.2,2549890.2,858.6,15,1,15,641245,641245
thumbnail,2,thumbnail/sheet1x1/320x160,new,1217981.2,1176425.0,1452856.2,2667720.8,821.0,18,1,18,641281,641281
thumbnail,2,thumbnail/sheet1x1/320x160,old,1255875.0,1209656.2,1291112.5,2749484.3,796.3,19,1,19,846081,846081
