"run","case","channels","variant","median_ns","min_ns","max_ns","thread_cycles","units_per_second","allocs","reallocs","frees","allocated_bytes","freed_bytes"
"3","full","2","before","63.5","62.4","65.9","139.1","15744573.5","0","0","0","0","0"
"3","full","2","after","59.2","58.4","62.6","129.6","16898779.1","0","0","0","0","0"
"3","larger","2","before","61.5","59","64.2","134.8","16250743.9","0","0","0","0","0"
"3","larger","2","after","62.7","56","69","137.4","15956952.1","0","0","0","0","0"
"3","partial","2","before","53.3","49.3","56.4","116.8","18773920","0","0","0","0","0"
"3","partial","2","after","48.6","46.4","58.3","106.6","20568057","0","0","0","0","0"
"3","partial-tail","2","before","47.8","46.6","49","104.9","20911295.5","0","0","0","0","0"
"3","partial-tail","2","after","46.9","44.7","49.9","102.8","21336111.5","0","0","0","0","0"
"3","empty","2","before","12","11.3","14.3","26.3","83326128.4","0","0","0","0","0"
"3","empty","2","after","12.2","11.8","13.9","26.8","81766687.5","0","0","0","0","0"
"3","full","3","before","78.7","75.5","82.3","172.4","12708040.4","0","0","0","0","0"
"3","full","3","after","72.5","68.8","80.2","158.8","13799957.9","0","0","0","0","0"
"3","larger","3","before","87.2","84.3","91.5","190.9","11461751","0","0","0","0","0"
"3","larger","3","after","85.2","80.8","89.7","186.6","11740174.1","0","0","0","0","0"
"3","partial","3","before","56.8","54.6","60.3","124.4","17604190.5","0","0","0","0","0"
"3","partial","3","after","57.1","53.1","70.6","125.1","17517140","0","0","0","0","0"
"3","partial-tail","3","before","56.5","55.2","60.7","123.7","17705254.6","0","0","0","0","0"
"3","partial-tail","3","after","56.1","53.9","57.8","122.9","17815231.1","0","0","0","0","0"
"3","empty","3","before","11.8","11.5","12.2","25.8","85073018.8","0","0","0","0","0"
"3","empty","3","after","12.5","12","15.2","27.4","80043969.5","0","0","0","0","0"
"3","full","6","before","214.6","203.1","220.7","453.4","4658962.9","0","0","0","0","0"
"3","full","6","after","209.9","205.9","213.7","459.5","4764296.9","0","0","0","0","0"
"3","larger","6","before","209.4","202.3","220.5","458.4","4775684.4","0","0","0","0","0"
"3","larger","6","after","209.3","205.9","211.7","458.3","4777773.3","0","0","0","0","0"
"3","partial","6","before","122","112.2","125.6","267.3","8197635.9","0","0","0","0","0"
"3","partial","6","after","115.7","112","122.7","253.6","8644085.7","0","0","0","0","0"
"3","partial-tail","6","before","122.6","115","127.6","268.5","8155301.1","0","0","0","0","0"
"3","partial-tail","6","after","122.4","117.9","130.9","268.1","8169228.3","0","0","0","0","0"
"3","empty","6","before","11.7","10.7","13.7","25.6","85729609.5","0","0","0","0","0"
"3","empty","6","after","11.9","11.1","13","26","83687907","0","0","0","0","0"
"3","full","8","before","264.4","256.2","272.8","577.5","3782665.3","0","0","0","0","0"
"3","full","8","after","265.1","261.4","272","580.4","3771801.8","0","0","0","0","0"
"3","larger","8","before","266.7","261.2","274","580.7","3750014.3","0","0","0","0","0"
