suite,run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
pack,3,pack_load/0x0,new,754525.0,729700.0,759837.5,1622187.4,1325.3,47,25,47,166874,166874
pack,3,pack_load/1x1,old,1895537.5,1629275.0,2001162.5,3682140.0,527.6,76,35,76,171635,171635
pack,3,pack_load/1x1,new,1298700.0,1291600.0,1351700.0,2539971.8,770.0,68,35,68,170796,170796
pack,3,pack_load/64x4,old,123206475.0,119306762.5,140357287.5,267110566.2,519.5,5134,2589,5134,1089653,1089653
pack,3,pack_load/64x4,new,75671212.5,73963462.5,84998212.5,164305627.1,845.8,3975,2589,3975,950777,950777
pack,3,pack_load/512x4,old,1044366800.0,930896500.0,1076108550.0,2285815046.5,490.2,40681,20512,40681,7553151,7553151
pack,3,pack_load/512x4,new,647142650.0,598424000.0,667991700.0,1400497466.0,791.2,31455,20512,31455,6442067,6442067
workshop,3,workshop_choices/0x0,old,56.1,37.7,59.8,110.1,17839721.3,0,0,0,0,0
workshop,3,workshop_choices/0x0,new,11.4,11.4,15.9,25.3,87708779.4,0,0,0,0,0
workshop,3,workshop_choices/1x0,old,4537.5,4256.2,6306.2,9740.3,440771.3,32,0,32,2896,2896
workshop,3,workshop_choices/1x0,new,2637.5,2631.2,2725.0,5871.6,758293.8,20,0,20,2518,2518
workshop,3,workshop_choices/64x0,old,300393.8,285300.0,365956.2,653204.6,426107.4,2157,0,2157,94745,94745
workshop,3,workshop_choices/64x0,new,250150.0,226131.2,283156.2,547734.8,511693.0,1187,1,1187,66275,66275
workshop,3,workshop_choices/512x0,old,2494081.2,2427443.8,2540343.8,5421444.5,410572.0,17248,0,17248,779490,779490
workshop,3,workshop_choices/512x0,new,2014368.8,1923243.8,2103975.0,4378311.5,508347.8,9446,2,9446,546660,546660
workshop,3,workshop_choices/512x4,old,4181687.5,3961675.0,4365912.5,9092334.6,244877.2,25440,2048,25440,1467106,1467106
workshop,3,workshop_choices/512x4,new,2713750.0,2605431.2,3133075.0,5910709.8,377337.6,9446,1028,9446,776424,776424
pack,4,runtime_key/0,new,142.4,141.6,161.6,312.3,7023319.6,1,0,1,27,27
pack,4,runtime_key/0,old,380.3,364.1,494.8,834.3,2629517.9,2,2,2,80,80
pack,4,compiler_key/0,new,159.0,141.9,233.3,326.7,6290892.3,1,0,1,27,27
pack,4,compiler_key/0,old,484.1,454.2,537.4,1038.0,2065661.4,3,2,3,90,90
pack,4,runtime_key/1,new,184.1,158.5,216.2,396.5,5430920.2,1,0,1,27,27
pack,4,runtime_key/1,old,596.6,561.6,655.6,1308.3,1676078.2,2,4,2,140,140
pack,4,compiler_key/1,new,258.9,244.0,329.4,562.2,3862693.3,1,0,1,27,27
pack,4,compiler_key/1,old,977.4,900.8,1107.6,2069.1,1023104.8,6,4,6,708,708
pack,4,runtime_key/6,new,336.2,308.9,432.9,737.5,2974150.5,1,0,1,27,27
pack,4,runtime_key/6,old,1048.4,989.5,1207.1,2276.6,953800.3,2,6,2,380,380
pack,4,compiler_key/6,new,671.2,637.9,752.0,1471.9,1489942.2,1,0,1,27,27
pack,4,compiler_key/6,old,2364.5,2218.0,2676.4,5133.1,422930.8,16,6,16,1045,1045
pack,4,runtime_key/11,new,496.8,465.6,641.6,1089.9,2012875.3,1,0,1,27,27
pack,4,runtime_key/11,old,1377.4,1353.5,1457.6,3002.0,726022.3,2,7,2,700,700
pack,4,compiler_key/11,new,1173.7,1099.5,1195.5,2544.3,852037.5,1,0,1,27,27
pack,4,compiler_key/11,old,3558.0,3408.7,3797.9,7752.5,281056.2,26,7,26,1454,1454
pack,4,pack_load/0x0,new,754175.0,717362.5,814987.5,1639171.1,1326.0,47,25,47,166874,166874
pack,4,pack_load/0x0,old,944362.5,921275.0,968650.0,2052791.2,1058.9,51,25,51,167286,167286
pack,4,pack_load/1x1,new,1077950.0,1027475.0,1107775.0,2335151.1,927.7,68,35,68,170796,170796
pack,4,pack_load/1x1,old,1424212.5,1348737.5,1439300.0,3089654.5,702.1,76,35,76,171635,171635
pack,4,pack_load/64x4,new,82033125.0,75518312.5,84908950.0,179389091.0,780.2,3975,2589,3975,950777,950777
pack,4,pack_load/64x4,old,132703225.0,127685200.0,136068450.0,290222569.8,482.3,5134,2589,5134,1089653,1089653
pack,4,pack_load/512x4,new,671536850.0,627015500.0,696925400.0,1468949751.0,762.4,31455,20512,31455,6442067,6442067
pack,4,pack_load/512x4,old,984139450.0,946840850.0,1076377000.0,2150756921.5,520.3,40681,20512,40681,7553151,7553151
workshop,4,workshop_choices/0x0,new,25.3,25.3,27.5,55.9,39498553.5,0,0,0,0,0
workshop,4,workshop_choices/0x0,old,65.3,65.3,67.1,143.7,15312149.5,0,0,0,0,0
