affinity_mask,run,order,mode,case,version,median_ns,min_ns,max_ns,thread_cycles,items_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
2,2,new-first,untracked,tmesh_16layers,new,76214.5,66762.1,84578.1,163289.1,26871543.6,0,0,0,0,0
2,2,new-first,untracked,tmesh_16layers,old,68705.5,67133.2,70149.6,152366.4,29808398.6,0,0,0,0,0
2,2,new-first,untracked,tmesh_depth,new,69984.4,66441.4,78498.0,153656.0,29263674.9,0,0,0,0,0
2,2,new-first,untracked,tmesh_depth,old,68342.6,67739.1,70762.1,151439.6,29966677.5,0,0,0,0,0
2,2,new-first,untracked,tmesh_cameras,new,76351.2,72396.9,84911.3,166286.7,26823425.9,0,0,0,0,0
2,2,new-first,untracked,tmesh_cameras,old,76915.6,73414.8,79369.5,169586.1,26626579.4,0,0,0,0,0
2,2,new-first,untracked,mixed,new,43884.4,42129.7,47643.8,98448.3,46668090.9,0,0,0,0,0
2,2,new-first,untracked,mixed,old,46140.6,42804.3,47574.2,101257.2,44386048.1,0,0,0,0,0
2,2,new-first,tracked,sprites_layers,new,3696.5,3508.6,3922.7,9787.5,554039945.0,0,0,0,0,0
2,2,new-first,tracked,sprites_layers,old,6285.5,6110.2,7107.8,15319.6,325826859.7,0,0,0,0,0
2,2,new-first,tracked,sprites_16layers,new,3738.3,3613.7,3850.0,9703.4,547845350.1,0,0,0,0,0
2,2,new-first,tracked,sprites_16layers,old,4184.0,3789.8,4435.5,10521.4,489485575.6,0,0,0,0,0
2,2,new-first,tracked,sprites_same_z,new,3532.4,3469.5,3732.0,9481.4,579772199.5,0,0,0,0,0
2,2,new-first,tracked,sprites_same_z,old,3853.9,3575.4,4111.7,10266.8,531408879.0,0,0,0,0,0
2,2,new-first,tracked,sprites_textures,new,17523.8,16634.8,19001.2,40279.1,116869441.2,0,0,0,0,0
2,2,new-first,tracked,sprites_textures,old,18786.7,17369.1,20589.8,41993.9,109013182.5,0,0,0,0,0
2,2,new-first,tracked,sprites_fragmented,new,19984.0,18853.1,21521.1,44672.6,102482065.7,0,0,0,0,0
2,2,new-first,tracked,sprites_fragmented,old,19439.8,19223.4,21225.4,44665.7,105350641.0,0,0,0,0,0
2,2,new-first,tracked,meshes_layers,new,52634.0,51737.5,53028.1,116898.3,38910221.7,0,0,0,0,0
2,2,new-first,tracked,meshes_layers,old,51123.4,48889.1,54235.2,113292.0,40059904.0,0,0,0,0,0
2,2,new-first,tracked,meshes_same_z,new,48785.2,46479.3,52229.7,108246.9,41979982.4,0,0,0,0,0
